Station ID	Station Code	Station name	Year	Month	DisMean_m3s
29612	BUSEDRA	Drammenselva	2020	1	330.1705207
29612	BUSEDRA	Drammenselva	2020	2	354.298987
29612	BUSEDRA	Drammenselva	2020	3	365.5648966
29612	BUSEDRA	Drammenselva	2020	4	343.3949488
29612	BUSEDRA	Drammenselva	2020	5	383.5908487
29612	BUSEDRA	Drammenselva	2020	6	517.6209408
29612	BUSEDRA	Drammenselva	2020	7	376.3264799
29612	BUSEDRA	Drammenselva	2020	8	328.6640706
29612	BUSEDRA	Drammenselva	2020	9	196.325888
29612	BUSEDRA	Drammenselva	2020	10	660.6675762
29612	BUSEDRA	Drammenselva	2020	11	610.8060652
29612	BUSEDRA	Drammenselva	2020	12	429.7385759
29613	TELESKI	Skienselva	2020	1	300.8377565
29613	TELESKI	Skienselva	2020	2	337.1012868
29613	TELESKI	Skienselva	2020	3	351.1068669
29613	TELESKI	Skienselva	2020	4	371.260073
29613	TELESKI	Skienselva	2020	5	336.0145621
29613	TELESKI	Skienselva	2020	6	333.6423967
29613	TELESKI	Skienselva	2020	7	372.7475203
29613	TELESKI	Skienselva	2020	8	315.2588388
29613	TELESKI	Skienselva	2020	9	254.1048101
29613	TELESKI	Skienselva	2020	10	727.5887518
29613	TELESKI	Skienselva	2020	11	571.1686253
29613	TELESKI	Skienselva	2020	12	433.9765863
29614	VAGEOTR	Otra	2020	1	178.1204272
29614	VAGEOTR	Otra	2020	2	237.0768834
29614	VAGEOTR	Otra	2020	3	240.9153952
29614	VAGEOTR	Otra	2020	4	187.7040573
29614	VAGEOTR	Otra	2020	5	169.1245457
29614	VAGEOTR	Otra	2020	6	177.1762405
29614	VAGEOTR	Otra	2020	7	154.8560552
29614	VAGEOTR	Otra	2020	8	134.8241517
29614	VAGEOTR	Otra	2020	9	141.3829542
29614	VAGEOTR	Otra	2020	10	229.5660872
29614	VAGEOTR	Otra	2020	11	310.1836832
29614	VAGEOTR	Otra	2020	12	299.4976016
29615	VESENUM	NumedalslÜgen	2020	1	140.3492083
29615	VESENUM	NumedalslÜgen	2020	2	153.4251044
29615	VESENUM	NumedalslÜgen	2020	3	129.8053955
29615	VESENUM	NumedalslÜgen	2020	4	141.7900859
29615	VESENUM	NumedalslÜgen	2020	5	133.6868378
29615	VESENUM	NumedalslÜgen	2020	6	159.5571589
29615	VESENUM	NumedalslÜgen	2020	7	192.088156
29615	VESENUM	NumedalslÜgen	2020	8	108.954932
29615	VESENUM	NumedalslÜgen	2020	9	66.69188608
29615	VESENUM	NumedalslÜgen	2020	10	260.2167645
29615	VESENUM	NumedalslÜgen	2020	11	204.9748722
29615	VESENUM	NumedalslÜgen	2020	12	183.8455052
29617	?STEGLO	Glomma ved Sarpsfoss	2020	1	705.6321562
29617	?STEGLO	Glomma ved Sarpsfoss	2020	2	707.5120895
29617	?STEGLO	Glomma ved Sarpsfoss	2020	3	649.2062063
29617	?STEGLO	Glomma ved Sarpsfoss	2020	4	595.8954464
29617	?STEGLO	Glomma ved Sarpsfoss	2020	5	724.7123363
29617	?STEGLO	Glomma ved Sarpsfoss	2020	6	1589.210621
29617	?STEGLO	Glomma ved Sarpsfoss	2020	7	1193.832155
29617	?STEGLO	Glomma ved Sarpsfoss	2020	8	759.0623086
29617	?STEGLO	Glomma ved Sarpsfoss	2020	9	438.1357335
29617	?STEGLO	Glomma ved Sarpsfoss	2020	10	1016.881755
29617	?STEGLO	Glomma ved Sarpsfoss	2020	11	1379.822459
29617	?STEGLO	Glomma ved Sarpsfoss	2020	12	829.4738013
29778	STREORK	Orkla	2020	1	46.82372585
29778	STREORK	Orkla	2020	2	57.89241106
29778	STREORK	Orkla	2020	3	46.77283416
29778	STREORK	Orkla	2020	4	75.25469566
29778	STREORK	Orkla	2020	5	158.3520484
29778	STREORK	Orkla	2020	6	168.2415772
29778	STREORK	Orkla	2020	7	83.06693733
29778	STREORK	Orkla	2020	8	58.94140139
29778	STREORK	Orkla	2020	9	44.98914425
29778	STREORK	Orkla	2020	10	53.2224028
29778	STREORK	Orkla	2020	11	48.81862213
29778	STREORK	Orkla	2020	12	64.2711453
29779	FINEALT	Altaelva	2020	1	95.26436768
29779	FINEALT	Altaelva	2020	2	92.72901165
29779	FINEALT	Altaelva	2020	3	78.63720275
29779	FINEALT	Altaelva	2020	4	68.80751073
29779	FINEALT	Altaelva	2020	5	70.52791074
29779	FINEALT	Altaelva	2020	6	557.123853
29779	FINEALT	Altaelva	2020	7	181.7057733
29779	FINEALT	Altaelva	2020	8	115.0159068
29779	FINEALT	Altaelva	2020	9	87.80612482
29779	FINEALT	Altaelva	2020	10	82.70185168
29779	FINEALT	Altaelva	2020	11	93.49072134
29779	FINEALT	Altaelva	2020	12	74.22168209
29782	NOREVEF	Vefsna	2020	1	278.8275593
29782	NOREVEF	Vefsna	2020	2	74.96760179
29782	NOREVEF	Vefsna	2020	3	65.79673084
29782	NOREVEF	Vefsna	2020	4	82.23609991
29782	NOREVEF	Vefsna	2020	5	191.3550093
29782	NOREVEF	Vefsna	2020	6	903.4556535
29782	NOREVEF	Vefsna	2020	7	303.5457011
29782	NOREVEF	Vefsna	2020	8	170.1755456
29782	NOREVEF	Vefsna	2020	9	305.4220214
29782	NOREVEF	Vefsna	2020	10	85.15072993
29782	NOREVEF	Vefsna	2020	11	225.3195067
29782	NOREVEF	Vefsna	2020	12	56.71600564
29783	ROGEORR	Orreelva	2020	1	11.85811967
29783	ROGEORR	Orreelva	2020	2	12.28751628
29783	ROGEORR	Orreelva	2020	3	8.260171597
29783	ROGEORR	Orreelva	2020	4	1.516250875
29783	ROGEORR	Orreelva	2020	5	2.113365402
29783	ROGEORR	Orreelva	2020	6	1.57943486
29783	ROGEORR	Orreelva	2020	7	9.929422984
29783	ROGEORR	Orreelva	2020	8	5.002852089
29783	ROGEORR	Orreelva	2020	9	6.05164455
